i: 0	j: 0	distance: 0.173356
i: 1	j: 1	distance: 1.62541
i: 2	j: 3	distance: 0.396911
i: 3	j: 2	distance: 0.0718216
i: 4	j: 4	distance: 0.0193215
i: 5	j: 5	distance: 0.227033
i: 6	j: 12	distance: 0.505285
i: 7	j: 10	distance: 1.24696
i: 8	j: 14	distance: 0.651441
i: 9	j: 15	distance: 0.772578
i: 10	j: 18	distance: 55.0139
i: 11	j: 7	distance: 0.81723
i: 12	j: 11	distance: 21.3686
i: 13	j: 8	distance: 0.185869
i: 14	j: 6	distance: 51.2571
i: 15	j: 17	distance: 1.15866
i: 16	j: 6	distance: 0.151141
i: 17	j: 16	distance: 1.34808
i: 18	j: 14	distance: 77.151
i: 19	j: 13	distance: 0.989418
