i: 0	j: 0	distance: 0.0693553
i: 1	j: 4	distance: 0.319806
i: 2	j: 2	distance: 0.542947
i: 3	j: 5	distance: 0.0737427
i: 4	j: 3	distance: 0.235006
i: 5	j: 1	distance: 0.00599779
i: 6	j: 8	distance: 0.84456
i: 7	j: 10	distance: 36.9332
i: 8	j: 10	distance: 0.0661234
i: 9	j: 12	distance: 1.02561
i: 10	j: 14	distance: 1.52781
i: 11	j: 11	distance: 4.07678
i: 12	j: 13	distance: 23.7105
i: 13	j: 9	distance: 0.588582
i: 14	j: 17	distance: 0.0246432
i: 15	j: 12	distance: 28.0337
i: 16	j: 16	distance: 0.646465
i: 17	j: 15	distance: 0.103267
i: 18	j: 10	distance: 88.0815
i: 19	j: 19	distance: 0.201364
