i: 0	j: 0	distance: 0.330517
i: 1	j: 2	distance: 0.218415
i: 2	j: 5	distance: 0.0807253
i: 3	j: 4	distance: 0.449861
i: 4	j: 3	distance: 0.664121
i: 5	j: 1	distance: 0.203917
i: 6	j: 9	distance: 6.16913
i: 7	j: 7	distance: 32.065
i: 8	j: 12	distance: 0.947257
i: 9	j: 8	distance: 2.2096
i: 10	j: 11	distance: 0.706444
i: 11	j: 6	distance: 2.99522
i: 12	j: 10	distance: 1.26396
i: 13	j: 17	distance: 0.12447
i: 14	j: 15	distance: 0.131839
i: 15	j: 16	distance: 1.99597
i: 16	j: 13	distance: 3.10631
i: 17	j: 18	distance: 0.779466
i: 18	j: 12	distance: 85.517
i: 19	j: 14	distance: 30.6904
