i: 0	j: 0	distance: 0.515214
i: 1	j: 4	distance: 0.522279
i: 2	j: 3	distance: 0.215995
i: 3	j: 1	distance: 0.00980206
i: 4	j: 5	distance: 0.846029
i: 5	j: 2	distance: 0.527425
i: 6	j: 8	distance: 30.2016
i: 7	j: 16	distance: 43.7696
i: 8	j: 16	distance: 0.258925
i: 9	j: 7	distance: 1.12244
i: 10	j: 9	distance: 0.111143
i: 11	j: 10	distance: 1.76664
i: 12	j: 14	distance: 26.4421
i: 13	j: 15	distance: 0.408829
i: 14	j: 18	distance: 272.679
i: 15	j: 17	distance: 2.44405
i: 16	j: 18	distance: 118.138
i: 17	j: 18	distance: 0.0396147
i: 18	j: 16	distance: 83.2428
i: 19	j: 17	distance: 92.2264
