i: 0	j: 0	distance: 0.319955
i: 1	j: 3	distance: 0.043589
i: 2	j: 2	distance: 0.426098
i: 3	j: 1	distance: 0.96786
i: 4	j: 4	distance: 1.24019
i: 5	j: 7	distance: 0.504794
i: 6	j: 14	distance: 0.00189072
i: 7	j: 10	distance: 1.81659
i: 8	j: 13	distance: 0.549159
i: 9	j: 6	distance: 1.15535
i: 10	j: 9	distance: 0.635731
i: 11	j: 5	distance: 1.87692
i: 12	j: 8	distance: 0.297064
i: 13	j: 17	distance: 0.200227
i: 14	j: 15	distance: 0.259163
i: 15	j: 11	distance: 0.153968
i: 16	j: 15	distance: 47.1139
i: 17	j: 19	distance: 0.712719
i: 18	j: 13	distance: 76.1162
i: 19	j: 16	distance: 0.0304239
