i: 0	j: 0	distance: 0.0299707
i: 1	j: 4	distance: 0.0405785
i: 2	j: 1	distance: 0.0488474
i: 3	j: 2	distance: 0.0913113
i: 4	j: 6	distance: 0.149641
i: 5	j: 3	distance: 0.10803
i: 6	j: 9	distance: 0.276376
i: 7	j: 7	distance: 11.169
i: 8	j: 12	distance: 0.0486339
i: 9	j: 8	distance: 0.56078
i: 10	j: 10	distance: 0.359533
i: 11	j: 5	distance: 0.379975
i: 12	j: 13	distance: 2.85764
i: 13	j: 11	distance: 0.0473917
i: 14	j: 15	distance: 0.535177
i: 15	j: 14	distance: 0.38426
i: 16	j: 17	distance: 0.101568
i: 17	j: 18	distance: 0.0317781
i: 18	j: 19	distance: 0.0817122
i: 19	j: 16	distance: 0.103876
