i: 0	j: 0	distance: 0.0681583
i: 1	j: 5	distance: 0.0252577
i: 2	j: 2	distance: 0.0203764
i: 3	j: 1	distance: 0.0875802
i: 4	j: 4	distance: 0.0245052
i: 5	j: 3	distance: 0.0107582
i: 6	j: 6	distance: 0.502816
i: 7	j: 13	distance: 40.2693
i: 8	j: 13	distance: 0.238588
i: 9	j: 9	distance: 0.38005
i: 10	j: 15	distance: 0.156499
i: 11	j: 7	distance: 0.170568
i: 12	j: 10	distance: 0.385684
i: 13	j: 14	distance: 0.062567
i: 14	j: 12	distance: 0.00961186
i: 15	j: 11	distance: 0.0268579
i: 16	j: 16	distance: 0.0320781
i: 17	j: 17	distance: 0.0453343
i: 18	j: 18	distance: 0.200984
i: 19	j: 19	distance: 0.0323022
