i: 0	j: 0	distance: 0.220006
i: 1	j: 4	distance: 0.0707455
i: 2	j: 3	distance: 0.057109
i: 3	j: 1	distance: 0.220479
i: 4	j: 5	distance: 0.60651
i: 5	j: 2	distance: 0.601612
i: 6	j: 12	distance: 0.240973
i: 7	j: 14	distance: 1.5007
i: 8	j: 7	distance: 0.17182
i: 9	j: 8	distance: 0.720256
i: 10	j: 9	distance: 0.0549656
i: 11	j: 6	distance: 0.268845
i: 12	j: 16	distance: 1.56468
i: 13	j: 10	distance: 0.0434128
i: 14	j: 15	distance: 0.835311
i: 15	j: 17	distance: 1.95304
i: 16	j: 11	distance: 0.0394771
i: 17	j: 13	distance: 0.0755744
i: 18	j: 18	distance: 0.177655
i: 19	j: 17	distance: 84.4355
