i: 0	j: 2	distance: 0.275907
i: 1	j: 3	distance: 0.0942237
i: 2	j: 5	distance: 0.0210032
i: 3	j: 4	distance: 0.0763347
i: 4	j: 1	distance: 0.0421197
i: 5	j: 0	distance: 0.288286
i: 6	j: 10	distance: 1.11971
i: 7	j: 6	distance: 0.0394129
i: 8	j: 8	distance: 0.0219554
i: 9	j: 11	distance: 0.111543
i: 10	j: 9	distance: 0.09319
i: 11	j: 7	distance: 0.169288
i: 12	j: 15	distance: 0.931385
i: 13	j: 12	distance: 0.143312
i: 14	j: 13	distance: 0.0689476
i: 15	j: 14	distance: 0.0469326
i: 16	j: 18	distance: 0.142411
i: 17	j: 16	distance: 0.12587
i: 18	j: 19	distance: 0.267793
i: 19	j: 17	distance: 0.0349607
